MATCHUP,GAME_ID,SEASON
03/19/2018 Bucks at Cavaliers,0021701050,2017-18
03/17/2018 Cavaliers at Bulls,0021701039,2017-18
03/15/2018 Cavaliers at Trail Blazers,0021701028,2017-18
03/13/2018 Cavaliers at Suns,0021701014,2017-18
03/11/2018 Cavaliers at Lakers,0021701000,2017-18
03/09/2018 Cavaliers at Clippers,0021700986,2017-18
03/07/2018 Cavaliers at Nuggets,0021700970,2017-18
03/05/2018 Pistons at Cavaliers,0021700950,2017-18
03/03/2018 Nuggets at Cavaliers,0021700937,2017-18
03/01/2018 76ers at Cavaliers,0021700923,2017-18
02/27/2018 Nets at Cavaliers,0021700908,2017-18
02/25/2018 Spurs at Cavaliers,0021700894,2017-18
02/23/2018 Cavaliers at Grizzlies,0021700878,2017-18
02/22/2018 Wizards at Cavaliers,0021700869,2017-18
02/13/2018 Cavaliers at Thunder,0021700850,2017-18
02/11/2018 Cavaliers at Celtics,0021700835,2017-18
02/09/2018 Cavaliers at Hawks,0021700819,2017-18
02/07/2018 Timberwolves at Cavaliers,0021700807,2017-18
02/06/2018 Cavaliers at Magic,0021700797,2017-18
02/03/2018 Rockets at Cavaliers,0021700779,2017-18
01/31/2018 Heat at Cavaliers,0021700757,2017-18
01/30/2018 Cavaliers at Pistons,0021700747,2017-18
01/28/2018 Pistons at Cavaliers,0021700734,2017-18
01/26/2018 Pacers at Cavaliers,0021700715,2017-18
01/23/2018 Cavaliers at Spurs,0021700698,2017-18
01/20/2018 Thunder at Cavaliers,0021700674,2017-18
01/18/2018 Magic at Cavaliers,0021700664,2017-18
01/15/2018 Warriors at Cavaliers,0021700646,2017-18
01/12/2018 Cavaliers at Pacers,0021700619,2017-18
01/11/2018 Cavaliers at Raptors,0021700615,2017-18
01/08/2018 Cavaliers at Timberwolves,0021700594,2017-18
01/06/2018 Cavaliers at Magic,0021700582,2017-18
01/03/2018 Cavaliers at Celtics,0021700559,2017-18
01/02/2018 Trail Blazers at Cavaliers,0021700549,2017-18
12/30/2017 Cavaliers at Jazz,0021700534,2017-18
12/27/2017 Cavaliers at Kings,0021700513,2017-18
12/25/2017 Cavaliers at Warriors,0021700494,2017-18
12/21/2017 Bulls at Cavaliers,0021700466,2017-18
12/19/2017 Cavaliers at Bucks,0021700453,2017-18
12/17/2017 Cavaliers at Wizards,0021700440,2017-18
12/16/2017 Jazz at Cavaliers,0021700430,2017-18
12/14/2017 Lakers at Cavaliers,0021700415,2017-18
12/12/2017 Hawks at Cavaliers,0021700397,2017-18
12/09/2017 76ers at Cavaliers,0021700379,2017-18
12/08/2017 Cavaliers at Pacers,0021700369,2017-18
12/06/2017 Kings at Cavaliers,0021700353,2017-18
12/04/2017 Cavaliers at Bulls,0021700344,2017-18
12/02/2017 Grizzlies at Cavaliers,0021700329,2017-18
11/30/2017 Cavaliers at Hawks,0021700313,2017-18
11/28/2017 Heat at Cavaliers,0021700298,2017-18
11/27/2017 Cavaliers at 76ers,0021700291,2017-18
11/24/2017 Hornets at Cavaliers,0021700270,2017-18
11/22/2017 Nets at Cavaliers,0021700254,2017-18
11/20/2017 Cavaliers at Pistons,0021700242,2017-18
11/17/2017 Clippers at Cavaliers,0021700220,2017-18
11/15/2017 Cavaliers at Hornets,0021700207,2017-18
11/13/2017 Cavaliers at Knicks,0021700193,2017-18
11/11/2017 Cavaliers at Mavericks,0021700181,2017-18
11/09/2017 Cavaliers at Rockets,0021700166,2017-18
11/07/2017 Bucks at Cavaliers,0021700149,2017-18
11/05/2017 Hawks at Cavaliers,0021700136,2017-18
11/03/2017 Cavaliers at Wizards,0021700122,2017-18
11/01/2017 Pacers at Cavaliers,0021700106,2017-18
10/29/2017 Knicks at Cavaliers,0021700090,2017-18
10/28/2017 Cavaliers at Pelicans,0021700077,2017-18
10/25/2017 Cavaliers at Nets,0021700058,2017-18
10/24/2017 Bulls at Cavaliers,0021700049,2017-18
10/21/2017 Magic at Cavaliers,0021700028,2017-18
10/20/2017 Cavaliers at Bucks,0021700021,2017-18
10/17/2017 Celtics at Cavaliers,0021700001,2017-18
04/11/2018 Spurs at Pelicans,0021701226,2017-18
04/09/2018 Pelicans at Clippers,0021701212,2017-18
