CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
Boston,Celtics,1610612738,1,0,1,0,0,0,2,7,1,5,240,0,36,87,0.414,13,36,0.361,15,16,0.938,11,41,59,22,24,6,19,5,100,59.0,100.0,0,0.4957264957264957,1.0,2017-18,2018-03-20,21701059
OPPONENTS, Thunder,1610612760,0,1,0,0,0,1,0,9,1,5,240,0,35,85,0.412,10,27,0.37,19,29,0.655,8,36,53,19,20,6,13,6,99,53.0,99.0,0,0.4954128440366973,-1.0,2017-18,2018-03-20,21701059
New Orleans,Pelicans,1610612740,1,0,1,0,0,0,3,10,1,5,240,0,41,82,0.5,6,18,0.333,20,25,0.8,5,39,54,33,13,9,13,5,108,54.0,108.0,0,0.6016260162601627,19.0,2017-18,2018-03-18,21701047
OPPONENTS, Celtics,1610612738,0,1,0,0,0,1,1,10,1,5,240,0,35,87,0.402,9,26,0.346,10,20,0.5,9,35,54,17,21,8,13,3,89,54.0,89.0,0,0.4814814814814814,-19.0,2017-18,2018-03-18,21701047
Orlando,Magic,1610612753,0,1,0,1,0,0,0,6,1,5,240,0,34,87,0.391,5,28,0.179,10,11,0.909,7,33,46,14,23,12,15,7,83,46.0,83.0,1,0.4403669724770642,-9.0,2017-18,2018-03-16,21701029
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,1,11,1,5,240,0,31,82,0.378,9,26,0.346,21,28,0.75,16,39,66,16,17,7,19,6,92,66.0,92.0,0,0.4653465346534653,9.0,2017-18,2018-03-16,21701029
Boston,Celtics,1610612738,0,1,0,1,0,0,0,11,1,5,290,0,48,99,0.485,12,26,0.462,16,23,0.696,10,34,55,30,22,9,17,5,124,55.0,124.0,0,0.5735294117647058,-1.0,2017-18,2018-03-14,21701017
OPPONENTS, Wizards,1610612764,1,0,0,0,1,0,1,9,1,5,290,0,46,97,0.474,12,32,0.375,21,28,0.75,13,39,61,29,26,10,20,6,125,61.0,125.0,0,0.5639097744360902,1.0,2017-18,2018-03-14,21701017
Boston,Celtics,1610612738,0,1,0,1,0,0,0,8,1,5,240,0,34,81,0.42,12,37,0.324,17,21,0.81,10,32,50,26,13,10,16,5,97,50.0,97.0,0,0.5309734513274337,-2.0,2017-18,2018-03-11,21700998
OPPONENTS, Pacers,1610612754,1,0,0,0,1,0,0,5,1,5,240,0,39,81,0.481,12,22,0.545,9,10,0.9,6,33,44,26,20,9,18,7,99,44.0,99.0,0,0.5462184873949579,2.0,2017-18,2018-03-11,21700998
Minnesota,Timberwolves,1610612750,0,1,0,1,0,0,1,4,1,5,240,0,44,94,0.468,12,31,0.387,9,13,0.692,13,34,51,24,22,3,13,3,109,51.0,109.0,1,0.576271186440678,-8.0,2017-18,2018-03-08,21700974
